Designator,Mid X,Mid Y,Rotation,Layer
C1,143.2,-90.9,180.0,top
C10,161.27,-107.06,0.0,top
C11,159.89,-105.84,90.0,top
C12,158.95,-116.35,270.0,top
C13,161.35,-111.5,0.0,top
C14,151.62,-107.05,180.0,top
C15,151.22,-111.725,180.0,top
C16,159.9,-116.35,270.0,top
C17,158.97,-105.46,90.0,top
C18,153.753009,-118.240491,270.0,top
C19,158.95,-118.23,90.0,top
C2,148.25,-92.375,270.0,top
C20,153.23,-99.15,180.0,top
C21,137.3,-86.51,0.0,top
C22,153.8,-84.15,180.0,top
C24,156.38,-102.51,90.0,top
C27,170.13,-72.3,0.0,top
C29,136.5,-85.06,180.0,top
C3,161.27,-106.11,0.0,top
C4,167.2,-87.0,0.0,top
C6,162.75,-89.9,0.0,top
C7,159.83,-86.0,0.0,top
C8,157.33,-102.51,90.0,top
C9,158.25,-101.95,90.0,top
D1,139.1,-82.81,0.0,top
D2,144.65,-79.4,90.0,top
D3,154.35,-89.25,90.0,top
D4,161.2,-83.75,180.0,top
D5,173.25,-69.7,0.0,top
J1,162.35,-77.325,180.0,top
J10,176.9,-88.46,90.0,top
J11,133.8,-87.29,0.0,top
J13,176.9,-77.26,90.0,top
J2,148.4,-70.6,180.0,top
J5,133.8,-114.75175,0.0,top
J6,155.9,-128.6,90.0,top
J8,133.8,-98.49,0.0,top
J9,176.9,-109.78,90.0,top
L1,161.0,-95.1,90.0,top
Q5,168.6,-117.4,180.0,top
Q6,168.0375,-109.9,180.0,top
Q7,169.05,-101.1,180.0,top
R1,150.2,-76.35,0.0,top
R13,165.69,-116.45,0.0,top
R14,170.25,-91.95,0.0,top
R15,168.35,-91.95,0.0,top
R16,165.35,-109.295,90.0,top
R17,166.6,-100.5,90.0,top
R2,147.35,-76.35,0.0,top
R21,136.5,-95.9,180.0,top
R22,136.5,-98.5,0.0,top
R3,156.965,-105.145,270.0,top
R4,158.035,-105.145,270.0,top
R5,156.97,-115.98,180.0,top
R6,151.38,-99.15,180.0,top
R7,146.6,-99.1,270.0,top
R8,156.95,-84.05,90.0,top
R9,156.2,-81.8,180.0,top
SW1,144.05,-98.9,90.0,top
U1,145.575,-92.2,0.0,top
U2,150.5125,-102.515,270.0,top
U3,156.3,-110.5,90.0,top
U6,162.8,-87.2,0.0,top
Y1,156.34,-118.2,180.0,top
