Bill of Materials,,,,,
,,,,,
Item Name: ,URL:,Price:,Quantity:,Per package,Use:
Power Supply Cable,https://www.aliexpress.com/item/1005007332397741.html,$16.96,1,1,Power
"Closed Loop Nema 17 Motor, Encoder, & Driver",https://www.stepperonline.ca/1-axis-closed-loop-stepper-cnc-kit-14ncm-19-83oz-in-nema-17-motor-driver-1-cl42t-s01-v41.html,$114.27,1,1,Dial turning mechanism
Analog Feedback Servo,https://www.aliexpress.com/item/1005007407524023.html,$14.81,1,1,Shackle opening mechanism
4x4 Matrix Keypad,https://www.aliexpress.com/item/1005007182495122.html?spm=a2g0o.cart.0.0.56ba38da4Y49U1&mp=1,$2.00,1,1,User input
LCD1602 I2C,https://www.aliexpress.com/item/1005006151355330.html?spm=a2g0o.cart.0.0.56ba38da4Y49U1&mp=1&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D,$4.13,1,1,Displays program output
M3 6mm Screws,https://www.aliexpress.com/item/1005007264845313.html?spm=a2g0o.cart.0.0.50b938dapLnEpK&mp=1&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D,$2.96,1,50,Mounting screws
M2.5 10mm Screws,https://www.aliexpress.com/item/1005007264845313.html?spm=a2g0o.cart.0.0.50b938dapLnEpK&mp=1&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D,$2.96,1,50,Mounting screws
M2.5 5mm Screws,https://www.aliexpress.com/item/1005007264845313.html?spm=a2g0o.cart.0.0.50b938dapLnEpK&mp=1&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D,$2.96,1,50,Mounting Screws
M2 5mm Screws,https://www.aliexpress.com/item/1005007264845313.html?spm=a2g0o.cart.0.0.50b938dapLnEpK&mp=1&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D,$2.96,1,50,Mounting Screws
PCBA,https://jlcpcb.com,$82.02,1,"5 PCB, 2 PCBA",Main Controller
22 AWG Wires,https://www.digikey.ca/en/products/detail/cnc-tech/1007-22-1-2000-005-1-TD/17799172,$4.00,5,1,Driver Signal Wires
18 AWG Wires,https://www.digikey.ca/en/products/detail/lapp/4180604/12147916,$1.34,2,1,Driver Power Wires
1x6 Terminal Block,https://www.digikey.ca/en/products/detail/phoenix-contact/1710726/5198285,$6.44,1,1,Driver Signal Connectors
1x2 Terminal Block,https://www.digikey.ca/en/products/detail/phoenix-contact/1715721/260631,$4.74,2,1,Driver Power Connectors
1x3 PinHeader,https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/61300311121/4846825,$0.18,1,1,Debug Connector
1x4 PinHeader,https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/61300411121/4846827,$0.50,2,1,LCD & Servo Connectors
1x8 PinHeader,https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/61300811121/4846839,$0.54,1,1,Keypad Connectors
Barrel Jack,https://www.digikey.ca/en/products/detail/switchcraft-inc/RAPC712BKZ/9997462,$4.41,1,1,Power Connector
,,,,,
,Total (CAD):,$268.18,,,
,Total: (USD): ,$191.15,,,
